id	bloque (no traducir)	titulo	cuerpo	enlace
1	Democracia Económica	Plan Nacional de Transición Enerxética.	"Vamos crear un Plan Nacional de Transición Enerxética que movilice la inversión público-privada n’eficiencia enerxética y enerxíes verdes nun 1,5 % añal del Productu Interior Brutu (PIB) per un periodu de venti años. La fin ye tresformar l’aparatu productivu, el modelu inmobiliariu y el sistema de tresportes p’avanzar hacia una economía baxa en carbonu y caracterizada pol usu de fontes d’enerxía renovables.

L’aplicación d’esti plan va permitir una disminución del 30 % del consumu nacional d’enerxía primaria, mentanto qu’una gran parte del consumu restante va cubrise de manera autóctona per aciu d’enerxíes renovables a la final de la so aplicación, reduciendo d’esta miente la dependencia enerxética. Vamos consiguir una reducción mui sustancial de les emisiones de CO2 y un impactu fuerte sobre l’empléu, tanto en sectores llaborales que sufren el paru asociáu al acabu de la burbuya inmobiliaria como en sectores profesionales de cualificación técnica alta. Nel primer añu de funcionamientu del plan van crease 300.000 empleos estables, cifra que va xubir a los 400. 000 na fase final. Esti plan Nacional encontia en dos grandes pegollos:

Plan Nacional d’Aforru Enerxéticu: orientáu a impulsar l’ameyoramientu de la eficiencia enerxética nos edificios, pero tamién nel tresporte, la industria y los sistemes de distribución llétrica. El carrastiellu d’esti plan ye la rehabilitación de 200.000 viviendes al añu dende’l primeru, p’abordar l’aisllamientu térmicu, la instalación de sistemes de calefacción y agua caliente eficientes y la illuminación de consumu baxu. Estes reformes van producir un aforru d’hasta’l 80 % de la demanda d’enerxía de les viviendes rehabilitaes.

Plan Nacional d’Enerxíes Renovables: centráu na espansión y instalación d’enerxíes renovables llimpies tales como la solar, la eólica, la xeotérmica, la pequeña hidrollétrica y la biomasa d’emisión baxa.

Esti plan inclúi tola cadena d’investigación, desarrollu, fabricación y instalación y va tar particularmente orientáu a reducir drásticamente’l consumu de combustibles fósiles en xeneración llétrica, creando amás un texíu industrial propiu d’altu valor añadíu. Dambos planes tienen que s’organizar de manera que se priorice la democratización y redistribución del procesu de xeneración y distribución enerxética, pa que la propiedá de los sistemes de producción nuevos permaneza en manes de Conceyos, consumidores o empreses pequeñes."	http://lasonrisadeunpais.es/fb-share/programa/ast/1.html
2	Democracia Económica	Derogación del Real Decretu 900 / 2015, de 9 d’ochobre, y aprobación d’una normativa que permita’l desarrollu del autoconsumu llétricu.	"Vamos derogar el Real Decretu 900 / 2015, de 9 d’ochobre, sobre autoconsumu llétricu y vamos aprobar una normativa que permita’l so desarrollu, coles siguientes característiques básiques:

La enerxía autoconsumida instantáneamente queda llibre de cualquier tipu d’imposición.

La enerxía vertida al sistema llétricu va retribuyise de manera xusta por parte de la empresa comercializadora (per aciu la cancelación de la cantidá de quilovatiu hora consumida de la rede o per mediación d’un saldu económicu).

Establecimientu d’unos trámites alministrativos áxiles."	http://lasonrisadeunpais.es/fb-share/programa/ast/2.html
3	Democracia Económica	Impulsu y desarrollu d’infraestructures verdes.	Vamos impulsar les infraestructures verdes (redes de tresporte colectivu, tresporte ferroviariu, eficiencia nel usu del agua, reforestación, etcétera) y los planes d’investi gación, desarrollu y innovación (I+D+i) específicamente diseñaos pal desarrollu de tecnoloxíes verdes que, en particular, proporcionen formes nueves d’almacenamientu d’enerxía, vectores enerxéticos nuevos y nueves capacidaes de modulación de la lletricidá xenerada, como l’hidróxenu o la solar termollétrica, que permitan optimizar l’aprovechamientu de les enerxíes renovables nel sistema llétricu.	http://lasonrisadeunpais.es/fb-share/programa/ast/3.html
4	Democracia Económica	Adopción progresiva d’una enerxía 100 % renovable en toles dependencies de l’alministración pública.	Vamos contratar, de manera progresiva, el 100 % de la enerxía renovable en toles dependencies de l’alministración pública per mediación d’una comercializadora llétrica qu’ofreza esi serviciu.	http://lasonrisadeunpais.es/fb-share/programa/ast/4.html
5	Democracia Económica	Compromisu públicu de nun autorizar instalaciones de fracking.	Asumimos el compromisu públicu de nun autorizar instalaciones de fractura hidráulica (fracking).	http://lasonrisadeunpais.es/fb-share/programa/ast/5.html
6	Democracia Económica	Realización d’una auditoría de costos de tol sistema llétricu.	Vamos llevar a cabu una auditoría de costos de tol sistema llétricu que determine los costos reales de producción de la lletricidá con cada tecnoloxía, y tamién los costos asociaos a los servicios de tresporte y distribución. De la mesma manera, vamos realizar una auditoría de la delda asociada al déficit de tarifa.	http://lasonrisadeunpais.es/fb-share/programa/ast/6.html
7	Democracia Económica	Cambiu del marcu regulatoriu pa que toles fontes d’enerxía reciban una retribución razonable basada nos costos reales de producción.	Vamos camudar el marcu regulatoriu de manera que toles fontes d’enerxía reciban una retribución razonable basada nos costos reales de producción. Esta retribución va proporcionar ventayes comparatives a les fontes de menor impactu ambiental. Amás, el marcu nuevu va acabar colos beneficios inxustificaos de les centrales nucleares y hidrollétriques.	http://lasonrisadeunpais.es/fb-share/programa/ast/7.html
8	Democracia Económica	Establecimientu de controles efectivos qu’impidan práctiques oligopóliques nel sistema llétricu.	Vamos establecer controles efectivos pa impedir práctiques oligopóliques nel sistema llétricu, incluyida la integración vertical. En particular, va estudiase la posibilidá de separar la propiedá y la xestión de les redes de distribución.	http://lasonrisadeunpais.es/fb-share/programa/ast/8.html
9	Democracia Económica	Protagonismu de les enerxíes renovables na planificación del sistema llétricu.	"Vamos asitiar les enerxíes renovables en sitiu central de la planificación del sistema llétricu. Mentanto sían necesaries, el restu de tecnoloxíes van funcionar como apoyu a les anteriores. Nesti sen:

- Vamos estudiar de cuántes centrales de ciclu combináu se pue prescindir ensin que varien los estándares actuales de garantía de suministru. Les centrales de ciclu combináu prescindibles nun van recibir nengún tipu de pagu por capacidá.
- Vamos proceder al piesllu paulatinu de les centrales nucleares en funcionamientu nel Estáu español.
- Vamos llevar a cabu’l piesllu progresivu de les centrales de carbón.

L’abandonu progresivu de fontes d’enerxía rellacionaes coles centrales de ciclu combináu, nucleares o de carbón va efectuase nel marcu d’una transición xusta pa los trabayadores d’estes industries, de manera que se garantice la so recolocación progresiva en sectores llimpios n’igualdá de condiciones."	http://lasonrisadeunpais.es/fb-share/programa/ast/9.html
10	Democracia Económica	Recuperación de les centrales hidrollétriques por parte del Estáu.	Vamos promover la recuperación por parte del Estáu de les centrales hidrollétriques con concesiones a empreses privaes que caduquen. De la so xestión van encargase les confederaciones hidrográfiques, el Ministeriu de Mediu Ambiente y l’operador del sistema.	http://lasonrisadeunpais.es/fb-share/programa/ast/10.html
