id	bloque (no traducir)	titulo	cuerpo	enlace
1	Democracia Económica	Pla Nacional de Transició Energètica	"Crearem un Pla Nacional de Transició Energètica que mobilitzi la inversió pública-privada en eficiència energètica i energies verdes en un 1’5% anual del Producte Interior Brut (PIB) durant un període de vint anys. La finalitat és transformar l’aparell productiu, el model immobiliari i el sistema de transports per avançar cap a una economia baixa en carboni i caracteritzada per l’ús de fonts d’energia renovables.

L’aplicació d’aquest pla permetrà una disminució del 30% del consum nacional d’energia primària, mentre que una gran part del consum restant es cobrirà de manera autòctona mitjançant energies renovables al final de la seva aplicació, reduint així la dependència energètica. Aconseguirem una reducció molt significativa de les emissions de CO2 i un fort impacte sobre l’ocupació, tant en sectors laborals que pateixen l’atur associat a la fi de la bombolla immobiliària com en sectors professionals d’alta qualificació tècnica. Durant el primer any de funcionament del pla es crearan 300.000 llocs de treball estables, xifra que augmentarà als 400.000 en la fase final. Aquest pla nacional es recolza en dos grans pilars:

- Pla Nacional d’Estalvi Energètic: orientat a impulsar la millora de l’eficiència energètica dels edificis, però també en el transport, la indústria i els sistemes de distribució elèctrica. La columna vertebral d’aquest pla és la rehabilitació de 200.000 habitatges l’any des del primer, per tractar l’aïllament tèrmic, la instal·lació de sistemes de calefacció i aigua calenta eficients i la il·luminació de baix consum. Aquestes reformes produiran un estalvi de fins al 80% de la demanda d’energia dels habitatges rehabilitats.
- Pla Nacional d’Energies Renovables: centrat en l’expansió i la instal·lació d’energies renovables netes com ara la solar, l’eòlica, la geotèrmica, la hidroelèctrica de mida petita i la biomassa de baixa emissió.

Aquest pla inclou tota la cadena d’investigació, desenvolupament, fabricació i instal·lació. Estarà particularment orientat a reduir dràsticament el consum de combustibles fòssils en generació elèctrica, creant a més a més un teixit industrial propi d’alt valor afegit. Ambdós plans han d’organitzar-se de manera que es prioritzi la democratització i la redistribució del procés de generació i distribució energètica, per tal que la propietat dels nous sistemes de producció estigui en les mans d’ajuntaments, consumidors o petites i mitjanes empreses."	http://lasonrisadeunpais.es/fb-share/programa/ca/1.html
2	Democracia Económica	Derogació del Reial Decret 900 / 2015, del 9 d’octubre, i aprovació d’una normativa que permeti el desenvolupament de l’autoconsum elèctric	"Derogarem el Reial Decret 900 / 2015, del 9 d’octubre, sobre l’autoconsum elèctric i aprovarem una normativa que permeti el seu desenvolupament, amb les següents característiques bàsiques:

- L’energia autoconsumida instantàniament queda lliure de qualsevol tipus d’imposició.
- L’energia abocada al sistema elèctric serà justament retribuïda per part de l’empresa comercialitzadora (mitjançant la cancel·lació de la quantitat de quilovats hora consumida de la xarxa o per mitjà d’un saldo econòmic).
- Establiment d’uns tràmits administratius àgils. "	http://lasonrisadeunpais.es/fb-share/programa/ca/2.html
3	Democracia Económica	Impuls i desenvolupament d’infraestructures verdes	Impulsarem les infraestructures verdes (xarxes de transport col·lectiu, transport ferroviari, eficiència en l’ús de l’aigua, reforestació, etcètera) i els plans de recerca, desenvolupament i innovació (R+D+i) específicament dissenyats per al desenvolupament de tecnologies verdes que, en particular, proporcionen noves formes d’emmagatzematge d’energia, nous vectors energètics i noves capacitats de modulació de l’electricitat generada, com l’hidrogen o la solar termoelèctrica, que puguin permetre optimitzar l’aprofitament de les energies renovables en el sistema elèctric.	http://lasonrisadeunpais.es/fb-share/programa/ca/3.html
4	Democracia Económica	Adopció progressiva d’una energia 100% renovable en totes les dependències de l’Administració Pública	Contractarem, de forma progressiva, el 100% de l’energia renovable en totes les dependències de l’Administració Pública a través d’una comercialitzadora elèctrica que ofereixi aquest servei.	http://lasonrisadeunpais.es/fb-share/programa/ca/4.html
5	Democracia Económica	Compromís públic de no autoritzar instal·lacions de fracking	Adoptarem el compromís públic de no autoritzar instal·lacions de fractura hidràulica (fracking).	http://lasonrisadeunpais.es/fb-share/programa/ca/5.html
6	Democracia Económica	Realització d’una auditoria de costos de tot el sistema elèctric	Iniciarem una auditoria de costos de tot el sistema elèctric que determini les despeses reals de producció de l’electricitat amb cada tecnologia, així com les despeses associades als serveis de transport i distribució. Tanmateix, realitzarem una auditoria del deute associat al dèficit de tarifa.	http://lasonrisadeunpais.es/fb-share/programa/ca/6.html
7	Democracia Económica	Modificació del marc regulador per tal que totes les fonts d’energia puguin rebre una retribució raonable basada en les despeses reals de producció	Modificarem el marc regulador per tal que totes les fonts d’energia puguin rebre una retribució raonable basada en les despeses reals de producció. Aquesta retribució proporcionarà avantatges comparatius a les fonts de menor impacte ambiental. A més, el nou marc acabarà amb els beneficis injustificats de les centrals nuclears i hidroelèctriques.	http://lasonrisadeunpais.es/fb-share/programa/ca/7.html
8	Democracia Económica	Establiment de controls efectius que impedeixen pràctiques oligopòliques en el sistema elèctric	Establirem controls efectius per impedir pràctiques oligopòliques en el sistema elèctric, inclosa la integració vertical. Particularment, s’estudiarà la possibilitat de separar la propietat i la gestió de les xarxes de distribució.	http://lasonrisadeunpais.es/fb-share/programa/ca/8.html
9	Democracia Económica	Protagonisme de les energies renovables en la planificació del sistema elèctric	"Situarem les energies renovables com el pilar central de la planificació del sistema elèctric. Mentre sigui necessari, la resta de tecnologies funcionaran com a suport de les anteriors. En aquest sentit: 

- Estudiarem de quantes centrals de cicle combinat es pot prescindir sense que varien els estàndards actuals de garantia de subministrament. Les centrals de cicle combinat prescindibles no rebran cap tipus de pagament per capacitat. 
- Procedirem al tancament gradual de les centrals nuclears en funcionament en Espanya. 
- Durem a terme el tancament progressiu de les centrals de carbó. 

L’abandonament progressiu de fonts d’energia vinculades a les centrals de cicle combinat, nuclears o de carbó, s’efectuaran en el marc d’una transició justa per als treballadors d’aquestes indústries, de forma que es pugui garantir la seva progressiva recol·locació en sectors nets en igualtat de condicions."	http://lasonrisadeunpais.es/fb-share/programa/ca/9.html
10	Democracia Económica	Recuperació de les centrals hidroelèctriques per part de l’Estat	Promourem la recuperació per part de l’Estat de les centrals hidroelèctriques on les seves concessions a empreses privades tinguin data de caducitat. De la seva gestió s’encarregaran les confederacions hidrogràfiques, el Ministeri de Medi Ambient i l’operador del sistema.	http://lasonrisadeunpais.es/fb-share/programa/ca/10.html
