id	bloque (no traducir)	titulo	cuerpo	enlace
1	Democracia Económica	Trantsizio Energetikorako Plan Nazionala	"Trantsizio Energetikorako Plan Nazionalari esker, hogei urteren buruan Barne Produktu Gordinaren (BPG) %1,5eko inbertsio publiko-pribatua sustatuko dugu. Plana efizientzia energetikoan eta energia berdeetan oinarrituko da. Planaren helburua da egitura produktiboa, eraikuntza eredua eta garraio sistema aldatzea, etorkizunean sistema ekonomikoan karbono kontsumo txikia izateko eta energia berriztagarriak erabiltzeko.

Plana martxan jartzean, energia primarioaren estatuko kontsumoa %30 gutxituko da, eta gainerako kontsumoaren zati handi bat era autoktonoan eta energia berriztagarrien bitartez osatuko da. Gainera, energia mendekotasuna murriztuko da. CO2 gutxiago isuriko da, eta bultzada handi bat emango diogu enplegua sortzeari. Izan ere, bi jende multzori egingo die mesede: alde batetik, higiezinen burbuila amaieratik langabezian daudenei, eta, beste alde batetik, kualifikazio tekniko altuko esparruetan arituko direnei. Planaren lehen urtean 300.000 lanpostu egonkor sortuko dira, eta planaren azken fasean 400.000ra helduko gara. Plan nazionalak bi oinarri ditu:

-  Energia Aurrezteko Plan Nazionala: eraikinen efizientzia energetikoa hobetzea izango da helburu nagusia, baina garraioena, industriarena eta banaketa elektrikoko sistemarena ere hobetuko du. Planaren oinarria lehenengo urtetik hasita urte bakoitzean 200.000 etxebizitza birgaitzea izango da, eta, horretarako, hainbat lan ildo landuko dira: isolamendu termikoa hobetzea, berogailu eta ur beroko sistema efizienteak instalatzea, eta kontsumo baxuko argiztapena instalatzea. Aldaketa horiei esker, birgaitutako etxebizitzen energia eskaera %80 murriztea lortuko dugu.

-  Energia Berriztagarrien Plan Nazionala: energia berriztagarriak zabaltzea eta instalatzea izango da helburua; adibidez, eguzki energia, energia eolikoa, energia geotermikoa, hidroelektriko txikia eta emisio txikiko biomasa.

Planak ikerketa, garapen, fabrikazio eta instalazio kate osoa hartuko du kontuan, eta, bereziki, energia elektrikoaren ekoizpenean kontsumitzen diren erregai fosilen kopurua murriztea du helburu. Hartara, planaren eraginez, balio erantsi handia duen industria ehun propio bat sortuko da. Bi planetan lehentasuna izango du energia ekoizteko eta banatzeko prozesua demokratizatzeak eta birbanatzeak; horren ondorioz, ekoizpen sistema berrien jabetza udalen, kontsumitzaileen edo enpresa txikien eskuetan egongo da
"	http://lasonrisadeunpais.es/fb-share/programa/eu/1.html
2	Democracia Económica	Urriaren 9ko 900/2015 Errege Dekretua indargabetu, eta autokontsumo elektrikoa garatzeko aukera emango duen araudia onartu.	"asd 900/2015 Errege Dekretua, urriaren 9koa, autokontsumo elektrikoari buruzkoa, indargabetuko dugu, eta autokontsumo elektrikoa garatzeko aukera ematen duen araudi bat sortuko dugu. Araudi berriak ezaugarri hauek izango ditu:

-  Berehala autokontsumitutako energiari ez diogu inolako zergarik jarriko.

-  Energia hori sistema elektrikoan sartzen bada, energia merkaturatzen duen enpresak zilegi den prezioan ordainduko du energia horren truke (sistematik kontsumitutako kilowatt/ordu kopurua kenduta edo kontsumitutakoa kitatuta).

-  Tramite administratiboa arinduko ditugu
"	http://lasonrisadeunpais.es/fb-share/programa/eu/2.html
3	Democracia Económica	Azpiegitura berdeak sustatu eta garatu	"Azpiegitura berdeak sustatuko ditugu (garraio kolektiboko sareak, tren garraioa, uraren erabilera eraginkorra, baso-berritzea eta abar). Halaber, ikerketa, garapena eta berrikuntza (I+G+b) planak sustatuko ditugu, teknologia berdeak garatzeko. Izan ere, teknologia horiek aukera ematen dute energia biltzeko modu berriak izateko eta energia bektore berriak lortzeko, baita ekoitzitako energia modulatzeko ere (adibidez, hidrogenoak eta eguzki energia termoelektrikoak), sistema elektrikoan sartutako energia berriztagarriak optimizatuko baititu.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/3.html
4	Democracia Económica	Administrazio Publikoaren bulego guztietan modu progresiboan %100 energia berriztagarria erabiltzea	"Elektrizitatea merkaturatzen duen enpresa baten bitartez, %100 energia berriztagarria kontratatuko dugu administrazio bulego guztietan.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/4.html
5	Democracia Económica	Fracking instalazioak ez baimentzeko konpromiso publikoa	"Haustura hidraulikoko (fracking) instalazioak ez baimentzeko konpromiso publikoa hartuko dugu
"	http://lasonrisadeunpais.es/fb-share/programa/eu/5.html
6	Democracia Económica	Sistema elektriko osoaren kostuei buruzko kontu ikuskaritza egitea	"-  Sistema elektriko osoko kostuei buruzko kontu ikuskaritza egingo dugu, teknologia bakoitzarekin ekoitzitako elektrizitatearen kostuak eta garraioarekin eta banaketarekin lotutako kostuak zenbatekoak diren jakiteko. Halaber, kontu ikuskaritza bat egingo dugu, tarifa defizitaren zorra zenbatekoa den jakiteko.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/6.html
7	Democracia Económica	Araudia aldatu, energia iturri guztiek jaso beharreko ordainsaria ekoizpen kostuen araberakoa izateko	"Araudia aldatuko dugu, energia iturri guztiek jaso beharreko ordainsaria ekoizpen kostuen araberakoa izateko. Ordainsariak handiagoak izango dira ingurumen inpaktu txikiagoa sortzen duten energia iturrietarako. Gainera, araudi berriari esker, zentral nuklearren eta zentral hidroelektrikoen neurriz kanpoko etekinak bukatuko dira.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/7.html
8	Democracia Económica	Sistema elektrikoan jarduera oligopolikoak kentzeko kontrolak ezarri	"Sistema elektrikoan jarduera oligopolikoak kentzeko kontrolak ezarriko ditugu, integrazio bertikala barne. Bereziki, banaketa sareen jabetza eta sare horien kudeaketa bereizteko ze aukera dagoen aztertuko dugu.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/8.html
9	Democracia Económica	Sistema elektrikoaren plangintzan energia berriztagarriei lehentasuna eman	"Energia berriztagarriak sistema elektrikoaren planifikazioaren erdigune izango dira. Beharrezkoak diren bitartean, gainerako teknologiak berriztagarrien osagarri izango dira. Horrekin lotuta, bide hauek irekiko ditugu:

-  Egungo banaketa bermatuz, ziklo konbinatuko zenbat zentral ken ditzakegun aztertuko dugu. Kendutako zentral horiek ez dute jasoko gaitasunaren araberako ordainsaririk.

-  Apurka-apurka oraindik ere martxan dauden zentral nuklearrak itxiko ditugu.

-  Arian-arian ikatz zentralak itxiko ditugu. 

Ziklo konbinatutik ateratzen den energia, energia nuklearra edo ikatz zentraletatik ateratzen den energia arian-arian utzi egingo dugu, eta, hori egitean, industria horietan lanean dabiltzan langileek trantsizio garai egoki bat izango dute, lan baldintza berberak mantenduz sektore garbietan lanean hasteko. 
"	http://lasonrisadeunpais.es/fb-share/programa/eu/9.html
10	Democracia Económica	Estatuak zentral hidroelektrikoak berreskuratzea	"Enpresa pribatuei emandako esleipenak amaitu ahala, Estatuak zentral hidroelektrikoak berreskuratzea bultzatuko dugu. Horiek kudeatzearen ardura konfederazio hidrografikoek, Ingurumen Ministerioak eta sistemaren operadoreek izango dute.
"	http://lasonrisadeunpais.es/fb-share/programa/eu/10.html
