id	bloque (no traducir)	titulo	cuerpo	enlace
1	Democracia Económica	Plan Nacional de Transición Enerxética	"Crearemos un Plan Nacional de Transición Enerxética que mobilice a inversión público-privada en eficiencia e enerxías verdes nun 1,5 % anual do Produto Interior Bruto (PIB) durante un período de vinte anos. O fin é transformar o aparato produtivo, o modelo inmobiliario e o sistema de transportes para avanzar cara a unha economía baixa en carbono e caracterizada polo uso de fontes de enerxía renovables.
A aplicación deste plan permitirá unha diminución do 30 % do consumo nacional de enerxía primaria, mentres que unha gran parte do consumo restante se cubrirá de xeito autóctono por medio de enerxías renovables ao final da súa aplicación, reducindo así a dependencia enerxética. Conseguiremos unha redución moi substancial das emisións de CO2 e un forte impacto sobre o emprego, tanto en sectores laborais que sofren o paro asociado ao fin da burbulla inmobiliaria coma en sectores profesionais de alta cualificación técnica. No primeiro ano de funcionamento do plan crearanse 300 000 empregos estables, cifra que ascenderá aos 400 000 na fase final. Este plan nacional susténtase en dous grandes piares:

-  Plan Nacional de Aforro Enerxético: orientado a impulsar a mellora da eficiencia enerxética nos edificios, pero tamén no transporte, na industria e nos sistemas de distribución eléctrica. A columna vertebral deste plan é a rehabilitación de 200 000 vivendas ao ano desde o primeiro, para abordar o illamento térmico, a instalación de sistemas de calefacción e auga quente eficientes e a iluminación de baixo consumo. Estas reformas producirán un aforro de ata o 80 % da demanda de enerxía das vivendas rehabilitadas.-  Plan Nacional de Enerxías Renovables: centrado na expansión e instalación de enerxías renovables limpas tales como a solar, a eólica, a xeotérmica, a pequena hidroeléctrica e a biomasa de baixa emisión. Este plan inclúe toda a cadea de investigación, desenvolvemento, fabricación e instalación e estará particularmente orientado a reducir drasticamente o consumo de combustibles fósiles en xeración eléctrica, creando ademais un tecido industrial propio de alto valor engadido. Ambos plans deben organizarse de modo que se lle dea prioridade á democratización e redistribución do proceso de xeración e distribución enerxética, para que a propiedade dos novos sistemas de produción permaneza en mans de concellos, consumidores ou pequenas empresas."	http://lasonrisadeunpais.es/fb-share/programa/gl/1.html
2	Democracia Económica	Derrogación do Real Decreto 900 / 2015, do 9 de outubro, e aprobación dunha normativa que permita o desenvolvemento do autoconsumo eléctrico	"Derrogaremos o Real Decreto 900 / 2015, do 9 de outubro, sobre autoconsumo eléctrico e aprobaremos unha normativa que permita o seu desenvolvemento, coas seguintes características básicas:
-  A enerxía autoconsumida instantaneamente queda libre de calquera tipo de imposición.-  A enerxía vertida ao sistema eléctrico será xustamente retribuída por parte da empresa comercializadora (mediante a cancelación da cantidade de kilovatio hora consumida da rede ou por medio dun saldo económico).-  Establecemento duns trámites administrativos áxiles."	http://lasonrisadeunpais.es/fb-share/programa/gl/2.html
3	Democracia Económica	Impulso e desenvolvemento de infraestruturas verdes	Impulsaremos as infraestruturas verdes (redes de transporte colectivo, transporte ferroviario, eficiencia no uso da auga, reforestación, etcétera) e os plans de investigación, desenvolvemento e innovación (I+D+i) especificamente deseñados para o desenvolvemento de tecnoloxías verdes que, en particular, proporcionen novas formas de almacenamento de enerxía, novos vectores enerxéticos e novas capacidades de modulación da electricidade xerada, como o hidróxeno ou a solar termoeléctrica, que permitan optimizar o aproveitamento das enerxías renovables no sistema eléctrico.	http://lasonrisadeunpais.es/fb-share/programa/gl/3.html
4	Democracia Económica	Adopción progresiva dunha enerxía 100 % renovable en todas as dependencias da Administración Pública	Contrataremos, de forma progresiva, o 100 % da enerxía renovable en todas as dependencias da Administración Pública a través dunha comercializadora eléctrica que ofreza ese servizo.	http://lasonrisadeunpais.es/fb-share/programa/gl/4.html
5	Democracia Económica	Compromiso público de non autorizar instalacións de fracking	Adoptaremos o compromiso público de non autorizar instalacións de fractura hidráulica (fracking).	http://lasonrisadeunpais.es/fb-share/programa/gl/5.html
6	Democracia Económica	Realización dunha auditoría de custos de todo o sistema eléctrico	Levaremos a cabo unha auditoría de custos de todo o sistema eléctrico que determine os custos reais de produción da electricidade con cada tecnoloxía, así como os custos asociados aos servizos de transporte e distribución. Así mesmo, realizaremos unha auditoría da débeda asociada ao déficit de tarifa.	http://lasonrisadeunpais.es/fb-share/programa/gl/6.html
7	Democracia Económica	Modificación do marco regulatorio para que todas as fontes de enerxía reciban unha retribución razoable baseada nos custos reais de produción	Modificaremos o marco regulatorio de xeito que todas as fontes de enerxía reciban unha retribución razoable baseada nos custos reais de produción. Esta retribución proporcionará vantaxes comparativas ás fontes de menor impacto ambiental. Ademais, o novo marco rematará cos beneficios inxustificados das centrais nucleares e hidroeléctricas.	http://lasonrisadeunpais.es/fb-share/programa/gl/7.html
8	Democracia Económica	Establecemento de controis efectivos que impidan prácticas oligopólicas no sistema eléctrico	Estableceremos controis efectivos para impedir prácticas oligopólicas no sistema eléctrico, incluída a integración vertical. En particular, estudarase a posibilidade de separar a propiedade e a xestión das redes de distribución.	http://lasonrisadeunpais.es/fb-share/programa/gl/8.html
9	Democracia Económica	Protagonismo das enerxías renovables na planificación do sistema eléctrico	"Situaremos as enerxías renovables no lugar central da planificación do sistema eléctrico. Mentres sexan necesarias, o resto de tecnoloxías funcionarán como apoio ás anteriores. Neste senso:

-  Estudaremos de cantas centrais de ciclo combinado se pode prescindir sen que varíen os estándares actuais de garantía de fornecemento. As centrais de ciclo combinado prescindibles non recibirán ningún tipo de pago por capacidade.-  Procederemos ao peche paulatino das centrais nucleares en funcionamento en España.-  Levaremos a cabo o peche progresivo das centrais de carbón.
O abandono progresivo de fontes de enerxía vinculadas ás centrais de ciclo combinado, nucleares ou de carbón, efectuarase no marco dunha transición xusta para os traballadores destas industrias, de xeito que se garanta a súa progresiva recolocación en sectores limpos en igualdade de condicións."	http://lasonrisadeunpais.es/fb-share/programa/gl/9.html
10	Democracia Económica	Recuperación das centrais hidroeléctricas por parte do Estado	Promoveremos a recuperación por parte do Estado das centrais hidroeléctricas que teñan concesións a empresas privadas que caduquen. Da súa xestión encargaranse as confederacións hidrográficas, o Ministerio de Medio Ambiente e o operador do sistema.	http://lasonrisadeunpais.es/fb-share/programa/gl/10.html
11	Democracia Económica	Garantía por lei do acceso a un fornecemento mínimo	"Desenvolveremos unha lei orgánica que garanta o acceso a un fornecemento mínimo. Consideraremos o acceso á enerxía coma un servizo público, independentemente de que sexa xestionada por institucións públicas ou privadas.
Non se procederá ao corte de fornecemento de electricidade ou gas cando se trate da vivenda habitual do consumidor e cando o impago da factura se deba a motivos alleos á súa vontade e, en particular, a unha situación de pobreza sobrevida.Establecerase un mínimo vital de electricidade e gas mensual por fogar. Unha vez constatada unha situación de pobreza, o pago dese fornecemento mínimo vital non poderá supoñer máis do 10 % dos ingresos mensuais do fogar. Os servizos sociais determinarán a cantidade exacta que cada fogar en situación de pobreza ha de pagar polo fornecemento mínimo.
O consumidor terá dereito ás mesmas condicións de acceso ao fornecemento durante o período dun ano, un dereito que se poderá ampliar anualmente e de xeito indefinido mentres a situación de pobreza persista.
As compañías subministradoras non poderán repercutir a correspondente caída dos seus ingresos ao resto de consumidores ou esixirlla ao Estado."	http://lasonrisadeunpais.es/fb-share/programa/gl/11.html
