id	bloque	titulo	cuerpo	enlace
0.1	INTRODUCCIÓN	PLAN DE RESCATE CIUDADANO: UN PLAN PARA DEVOLVER EL PAÍS A SU GENTE	"Las urgencias de un buen Gobierno deberían ser las mismas que
las de la mayoría social de su país. El próximo 20 de diciembre nos
jugamos la oportunidad histórica de situar esas urgencias ciudadanas en el 
centro de la acción política. El Plan de Rescate Ciudadano
es nuestra hoja de ruta para los primeros cien días de Gobierno,
que en la situación actual solo pueden dedicarse a restaurar la dignidad 
de una población golpeada por una gestión política nefasta, a sacar de la 
precariedad a unas clases populares cada vez más empobrecidas y a devolver 
las instituciones a la gente, que es lo que otorga sentido al Estado de derecho.

Cuando pensamos por primera vez en un Plan de Rescate
Ciudadano analizamos las condiciones bajo las cuales podíamos volver a hablar 
de un Estado de derecho en España. El 15-M nos recordó
que son más los consensos que nos unen que los que nos separan:
nuestros acuerdos sobre lo que tienen que ser los servicios públicos y
los derechos sociales, sobre cómo acabar con la corrupción y el fraude
fiscal, sobre cuáles son las condiciones básicas para garantizar una
vida digna, sobre la necesidad de democratizar nuestras instituciones públicas...

Son acuerdos sólidos y forman parte de un sentido común solidario que se 
puede plasmar en un programa diseñado por etapas, la
primera de las cuales es un plan responsable para los primeros cien
días de gobierno.

Si queremos hablar de un país para su gente tenemos que hablar,
asimismo, de un plan para devolver ese país a su gente. De modo
que todo proyecto de país tiene que ir precedido de un plan de recuperación de 
los mínimos de democracia y bienestar social, políticas
de choque que actúen de manera inmediata frente a la emergencia y
que sienten las bases para un desarrollo legislativo posterior.

Pero, además, todo proyecto con aspiraciones de construir un
país mejor, un país más eficaz y más justo, tiene que asumir que
solo puede existir crecimiento económico y desarrollo social cuando
su población dispone de la capacidad de consumo para reactivar la
economía, cuando se pone freno a la espiral de empobrecimiento y
exclusión. Porque la creación de riqueza y su reparto van indisociablemente ligadas.

La aplicación de las políticas de austeridad y de los recortes a
costa de los derechos sociales, los servicios públicos y la precarización generalizada 
de la sociedad ha provocado que España escalase,en solamente dos años, once puestos 
en el ranking de los países más desiguales de la Unión Europea (UE): 
si en 2013 ocupaba el 15º puesto con mayor desigualdad de ingreso de mercado,
hoy se sitúa en el 4º más desigual de la UE.

Es una cuestión de prioridades y de voluntad política: hay que
orientar las políticas para redistribuir la riqueza y combatir el proceso de concentración 
de dicha riqueza en unas pocas manos, un proceso que ha permitido que el 1 % de la población española 
concentre en la actualidad más riqueza que el 70 % más pobre 2 .

La pobreza en España no es un problema de escasez, sino de distribución de los recursos. 
Es necesario, por tanto, un plan que sea preventivo y proactivo a partes iguales: 
por un lado, un plan preventivo para cortar de raíz el proceso de empobrecimiento y 
desigualdad que afecta cada día a más familias españolas; y, por otro,
un plan proactivo para sentar las bases de un país mejor.

Un plan para rescatar al conjunto de la ciudadanía española significa:

-  Recuperar los recursos públicos expoliados a través del fraude fiscal, la corrupción y 
las deudas que han contraído unos pocos y que pagamos entre todos y todas.
-  Sentar las bases para un nuevo modelo productivo que sea sostenible social, 
económica y ecológicamente, con unas relaciones laborales justas que aseguren las condiciones para
una vida digna.
-  Hacer posible para las familias la conciliación entre vida
familiar y laboral en una sociedad cada vez más compleja y
garantizar el derecho a cuidar en igualdad y a ser cuidado o
cuidada.
-  Rescatar a las mujeres al combatir la discriminación laboral
y adquirir un compromiso firme para terminar con la violencia machista.
-  Rescatar a los mayores generadores de empleo de nuestro
país, autónomos y pymes, gracias a cuotas justas y a un apoyo institucional 
para salir adelante y mantener su actividad económica.
-  Garantizar los mínimos vitales de vivienda, agua y suministros necesarios 
para todos los españoles y españolas condenados a la pobreza por una gestión política nefasta.
-  Rescatar nuestros servicios públicos, los que son de todos
y todas, y restaurar la calidad y la universalidad de nuestro
sistema educativo y de nuestra sanidad.
-  Garantizar unas relaciones internacionales en términos de
solidaridad y de construcción de paz.
-  Profundizar en las instituciones democráticas y en nuestras
herramientas de participación colectiva, así como garantizar
la libertad de expresión y las libertades civiles.

Nuestra propuesta no contempla una ciudadanía pasiva, ausente
e indiferente a su realidad: esta propuesta tiene sentido como autoexigencia, 
como una propuesta que debe ser igualmente observada y vigilada por toda la ciudadanía.
Solo así la gente puede sentirlo como suyo.

El mandato ciudadano está en el origen, el proceso y la finalidad
del propio Plan de Rescate, ya que en su elaboración han participado
cientos de organizaciones de la sociedad civil y de expertas y expertos 
de diversos ámbitos, con quienes hemos trabajado de manera
colaborativa desde las más de veinte áreas de trabajo de Podemos,
con el fin de articular las mejores propuestas.

Hemos abierto, asimismo, canales públicos para la presentación
y la votación de propuestas, con un resultado de participación ciudadana 
sin precedentes: más de 10 000 personas han presentado
ideas y más de 15 000 las han votado.

El resultado de este proceso es un trabajo riguroso, con la mirada
puesta en la mayoría social y en el futuro de un país que anhela dejar
de verse atenazado por la corrupción y los intereses de una minoría
para demostrar la grandeza de una ciudadanía que hace tiempo que
tomó la delantera a sus dirigentes políticos.

Este Plan de Rescate Ciudadano es un plan de futuro para construir un nuevo país, enraizado en el bienestar social, el respeto a los derechos humanos y la profundización de la democracia. Un plan
para construir un país a la altura de su gente."	http://lasonrisadeunpais.es/fb-share/rescate/es/0.1.html
1.1	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Plan de Bienestar Social y Modernización Económica	"Aprobaremos un Plan de Bienestar Social y Modernización
Económica destinado, por una parte, a políticas sociales que 
refuercen el Estado de bienestar y los servicios públicos relacionados con
la atención a las personas, y, por otra, a inversiones públicas que
impulsen la creación de empleo y una verdadera transformación
de nuestra economía. Este plan estará dotado con un incremento
presupuestario de 25 000 millones de euros anuales cada año de la
legislatura. Con ello, aumentaremos en un punto el porcentaje de
gasto del PIB, y convergeremos con Europa en vez de alejarnos más,
como supondría la reducción en cuatro puntos porcentuales que
propone el Partido Popular."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.1.html
1.2	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Reforma laboral	"En primer lugar, derogaremos las siguientes reformas laborales:
Real Decreto Ley 10 / 2010, de 16 de junio, de medidas urgentes para
la reforma del mercado laboral, la Ley 35 / 2010, de 17 de septiembre,
de medidas urgentes para la reforma del mercado de trabajo y el
Real Decreto Ley 3 / 2012, de 10 de febrero, de medidas urgentes para
la reforma del mercado laboral. Y, a continuación, impulsaremos
un nuevo modelo de relaciones laborales que tenga como objetivo
impulsar la democratización del empleo en torno a los siguientes
ejes de actuación:

-  Reequilibrio de la negociación colectiva y mejora de los sistemas de 
representación en la empresa.
-  Reducir la precariedad, mejorar las condiciones de trabajo e
impulsar el empleo digno.
-  Impulsar la participación de los trabajadores en la gestión de
la empresa.
-  Eliminar las discriminaciones por razón de género, discapacidad o cualquier otro motivo."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.2.html
1.3	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Plan Nacional de Ahorro Energético: universalidad, sostenibilidad y empleo	"Pondremos en marcha un Plan Nacional de Ahorro Energético
orientado a impulsar la mejora de la eficiencia energética en los
edificios, pero también en el transporte, la industria y los sistemas
de distribución eléctrica. La columna vertebral de este plan es la
rehabilitación de 200 000 viviendas al año desde el primero, para
abordar el aislamiento térmico, la instalación de sistemas de calefacción y 
agua caliente eficientes y la iluminación de bajo consumo.

Estas reformas producirán un ahorro de hasta el 80 % de la demanda
de energía de las viviendas rehabilitadas, y generarán empleo entre
aquellos que se dedicaban a la construcción y fueron expulsados del
mercado laboral tras el estallido de la burbuja inmobiliaria."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.3.html
1.4	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	La comida no se tira: plan integral contra el despilfarro alimentario	"Cada año, 385 millones de kilos de alimentos acaban triturados en
los vertederos de España. Para evitar este despilfarro alimentario
implementaremos un plan integral que aborde el problema desde
una perspectiva multidisciplinar, y que incluya toda la cadena de
producción desde el campo hasta el momento de ser consumido, en
colaboración con los distintos actores implicados. En este sentido,
estableceremos tres objetivos prioritarios:

1.  Control en origen para reducir los residuos y la producción
desechada por motivos estéticos.
2.  Reutilizar la comida desechada por los supermercados en industrias de abono 
agrícola y alimentación de animales.
3.  Regular los controles sanitarios para que los alimentos desechados por motivos distintos 
a la calidad del producto puedan donarse para consumo humano."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.4.html
1.5	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Auditoría de costes del sistema eléctrico nacional	"Promoveremos una auditoría de costes de todo el sistema eléctrico
nacional y de los costes asociados a los servicios de transporte y distribución. 
Asimismo, realizaremos una auditoría de la deuda asociada al déficit de tarifa. 
Llevaremos a cabo una auditoría de costes de todo el sistema eléctrico que determine 
los costes reales de producción de la electricidad con cada tecnología, así como los costes
asociados a los servicios de transporte y distribución. Igualmente,
realizaremos una auditoría de la deuda asociada al déficit de tarifa."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.5.html
1.6	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Compromiso público de no autorizar instalaciones de fractura hidráulica (fracking)	"Adoptaremos el compromiso público de no autorizar instalaciones
de fractura hidráulica (fracking) e implementaremos medidas que
favorezcan el decrecimiento de los sectores altamente contaminantes, 
en el marco de una «transición justa» para los trabajadores
empleados en dichas industrias que garantice su progresiva recolocación, 
en igualdad de condiciones, en nuevos sectores limpios."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.6.html
1.7	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Sostenibilidad en todas las políticas	"Crearemos una Vicepresidencia de Sostenibilidad que vincule las políticas del Gobierno 
relacionadas con la sostenibilidad con las políticas de economía y empleo. De esta forma, promoveremos un modelo
de desarrollo que tenga en cuenta los límites de nuestro planeta y nos
aseguraremos de que siempre se apliquen los criterios de sostenibilidad 
en las diferentes políticas de desarrollo económico y social de
nuestro país."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.7.html
1.8	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Derogación de la ley Montoro	"Derogaremos de forma inmediata la ley Montoro (Ley 27 / 2013, de
sostenibilidad y racionalización de la Administración local), porque
pone en peligro las entidades menores y los servicios y bienes comunales, 
al tiempo que limita la capacidad de la red institucional
local para gestionar los problemas comunes de la ciudadanía.

Promoveremos un nuevo marco legal que armonice los tres niveles de gobierno 
(municipal, autonómico y estatal) y amplíe y actualice sus competencias y presupuestos.

Fomentaremos un debate urgente que refuerce el poder local
como el Gobierno de proximidad por y para la ciudadanía."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.8.html
1.9	PLAN DE MODERNIZACIÓN ECONÓMICA Y DESARROLLO SOSTENIBLE	Participación ciudadana y auditoría para la ejecución de grandes infraestructuras	"Realizaremos una auditoría de las grandes infraestructuras para
clarificar la naturaleza de las decisiones de cada construcción y sus
costes reales, a fin de establecer responsabilidades y evitar que se
repitan los casos de aeropuertos fantasma, autopistas de peaje vacías o 
iniciativas como el proyecto Castor de Castellón.

Igualmente, estableceremos mecanismos de transparencia y participación ciudadana 
en las contrataciones de grandes infraestructuras. Estos nuevos métodos de 
decisión incluirán las variables social, ambiental y económica, de forma que 
siempre resulten sostenibles en estos tres ámbitos."	http://lasonrisadeunpais.es/fb-share/rescate/es/1.9.html
